Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
GTXAP,Garrett Motion Inc. Series A Cumulative Convertible Preferred Stock,$8.1801,-0.0199,-0.243%,0.00,Switzerland,,1601,Capital Goods,Auto Parts:O.E.M.
HHR,HeadHunter Group PLC American Depositary Shares,$55.84,0.12,0.215%,2827498605.00,Cyprus,2019,8067,Technology,Professional Services
HSBC,HSBC Holdings plc. Common Stock,$29.13,0.66,2.318%,119005173254.00,United Kingdom,,846927,Finance,Savings Institutions
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$114.8085,1.0485,0.922%,25934479544.00,Ireland,2011,89129,Health Care,Biotechnology: Pharmaceutical Preparations
ICLR,ICON plc Ordinary Shares,$264.74,-0.52,-0.196%,21096115322.00,Ireland,1998,35579,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDBA,IDEX Biometrics ASA American Depositary Shares,$19.91,0.00,0.00%,244098491.00,Norway,,12,Miscellaneous,Diversified Manufacture
IFRX,InflaRx N.V. Common Stock,$2.74,0.05,1.859%,121070404.00,Germany,2017,251622,Health Care,Biotechnology: Pharmaceutical Preparations
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),$67.66,0.06,0.089%,12396415670.00,United Kingdom,,23976,Consumer Services,Hotels/Resorts
IIAC,Investindustrial Acquisition Corp. Class A Ordinary Shares,$9.96,0.00,0.00%,501112500.00,United Kingdom,2021,325,Finance,Business Services
IMCR,Immunocore Holdings plc American Depositary Shares,$37.67,-0.36,-0.947%,1649421935.00,United Kingdom,2021,1842,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMTX,Immatics N.V. Ordinary Shares,$13.4904,0.0904,0.675%,848670690.00,Germany,,4355,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMTXW,Immatics N.V. Warrants,$4.79,-0.05,-1.033%,0.00,Germany,,100,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ING,ING Group N.V. Common Stock,$14.81,0.16,1.092%,57808840152.00,Netherlands,1997,595944,Finance,Commercial Banks
IPHA,Innate Pharma S.A. ADS,$6.0615,0.0015,0.025%,480530425.00,France,2019,29135,Health Care,Biotechnology: Pharmaceutical Preparations
ITRM,Iterum Therapeutics plc Ordinary Share,$0.5239,-0.0076,-1.43%,95755970.00,Ireland,2018,371906,Health Care,Biotechnology: Pharmaceutical Preparations
IVA,Inventiva S.A. American Depository Shares,$13.04,0.21,1.637%,531284743.00,France,2020,750,Consumer Services,Other Consumer Services
IXAQU,IX Acquisition Corp. Unit,$9.8869,0.0069,0.07%,0.00,United Kingdom,2021,100,,
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$137.47,1.50,1.103%,8435705368.00,Ireland,2007,88759,Health Care,Biotechnology: Pharmaceutical Preparations
JCI,Johnson Controls International plc Ordinary Share,$69.20,0.19,0.275%,49285917685.00,Switzerland,,326487,Capital Goods,Auto Parts:O.E.M.
JHX,James Hardie Industries plc American Depositary Shares (Ireland),$35.64,-0.07,-0.196%,15845504154.00,Ireland,,9716,Capital Goods,Building Materials
KALV,KalVista Pharmaceuticals Inc. Common Stock,$17.71,0.31,1.782%,432794607.00,United Kingdom,2015,14488,Health Care,Biotechnology: Pharmaceutical Preparations
KNOP,KNOT Offshore Partners LP Common Units representing Limited Partner Interests,$19.9339,0.2139,1.085%,669429519.00,United Kingdom,2013,49874,Transportation,Marine Transportation
LBPS,4D pharma plc American Depositary Shares,$6.88,-0.19,-2.687%,155058826.00,United Kingdom,,1937,Health Care,Biotechnology: Pharmaceutical Preparations
LBPSW,4D pharma plc Warrant,$0.70,-0.02,-2.778%,0.00,United Kingdom,,9452,Health Care,Biotechnology: Pharmaceutical Preparations
LBTYA,Liberty Global plc Class A Ordinary Shares,$29.81,0.57,1.949%,16561002497.00,United Kingdom,,99771,Consumer Services,Television Services
LBTYB,Liberty Global plc Class B Ordinary Shares,$29.70,-0.10,-0.336%,16499891786.00,United Kingdom,,141,Consumer Services,Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$29.96,0.65,2.218%,16644335284.00,United Kingdom,,306698,Consumer Services,Television Services
LILM,Lilium N.V. Class A Ordinary Shares,$10.0805,-0.1195,-1.172%,2863971450.00,Germany,,156900,,
LILMW,Lilium N.V. Warrants,$2.2701,-0.1099,-4.618%,0.00,Germany,,37050,,
LIQT,LiqTech International Inc. Common Stock,$6.05,-0.01,-0.165%,131753107.00,Denmark,,26135,Capital Goods,Industrial Machinery/Components
LIVN,LivaNova PLC Ordinary Shares,$79.98,0.73,0.921%,4255382688.00,United Kingdom,,10962,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LVTX,LAVA Therapeutics N.V. Ordinary Shares,$6.905,-0.205,-2.883%,177980090.00,Netherlands,2021,1619,Health Care,Biotechnology: Pharmaceutical Preparations
LXFR,Luxfer Holdings PLC Ordinary Shares,$20.55,0.45,2.239%,570228243.00,United Kingdom,2012,2030,Capital Goods,Metal Fabrications
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$98.60,0.65,0.664%,32983215285.00,Netherlands,,178038,Basic Industries,Major Chemicals
LYG,Lloyds Banking Group Plc American Depositary Shares,$2.575,0.055,2.183%,45703442140.00,United Kingdom,,1199612,Finance,Commercial Banks
MANU,Manchester United Ltd. Class A Ordinary Shares,$16.66,0.19,1.154%,2715626032.00,United Kingdom,2012,91788,Consumer Services,Movies/Entertainment
MIME,Mimecast Limited Ordinary Shares,$62.945,0.125,0.199%,4176041460.00,United Kingdom,2015,24002,Technology,EDP Services
MOLN,Molecular Partners AG American Depositary Shares,$19.74,0.09,0.458%,636995686.00,Switzerland,2021,2052,,
MOR,MorphoSys AG American Depositary Shares,$11.23,-0.21,-1.836%,1532920110.00,Germany,2018,27898,Health Care,Biotechnology: Pharmaceutical Preparations
MREO,Mereo BioPharma Group plc American Depositary Shares,$2.215,0.035,1.606%,239536260.00,United Kingdom,,49522,Health Care,Biotechnology: Pharmaceutical Preparations
MRUS,Merus N.V. Common Shares,$28.71,0.61,2.171%,1104697523.00,Netherlands,2016,118295,Health Care,Biotechnology: Pharmaceutical Preparations
MT,Arcelor Mittal NY Registry Shares NEW,$30.40,1.47,5.081%,29784487886.00,Luxembourg,,1125503,Basic Industries,Steel/Iron Ore
MTCN,ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023,$72.31,3.77,5.50%,0.00,Luxembourg,2020,3676,Basic Industries,Steel/Iron Ore
MTD,Mettler-Toledo International Inc. Common Stock,$1376.745,-8.555,-0.618%,31826130184.00,Switzerland,1997,5149,Health Care,Medical Specialities
MTLS,Materialise NV American Depositary Shares,$19.59,0.16,0.823%,1139562191.00,Belgium,2014,19327,Technology,Computer Software: Prepackaged Software
MTP,Midatech Pharma PLC American Depositary Shs,$1.6954,0.0102,0.605%,21491116.00,United Kingdom,,6038,Health Care,Biotechnology: Pharmaceutical Preparations
MX,Magnachip Semiconductor Corporation Common Stock,$17.73,0.07,0.396%,817897772.00,Luxembourg,2011,10226,Technology,Semiconductors
NBRV,Nabriva Therapeutics plc Ordinary Shares Ireland,$1.10,-0.01,-0.901%,54712771.00,Ireland,2015,40691,Health Care,Biotechnology: Pharmaceutical Preparations
NBTX,Nanobiotix S.A. American Depositary Shares,$11.58,-0.48,-3.98%,403283598.00,France,2020,9677,Health Care,Biotechnology: Pharmaceutical Preparations
NCNA,NuCana plc American Depositary Share,$2.15,0.05,2.381%,112148395.00,United Kingdom,2017,271154,Health Care,Biotechnology: Pharmaceutical Preparations
NEON,Neonode Inc. Common Stock,$8.60,-0.36,-4.018%,99076309.00,Sweden,,17968,Capital Goods,Industrial Machinery/Components
NGG,National Grid Transco PLC National Grid PLC (NEW) American Depositary Shares,$60.46,0.03,0.05%,43736474820.00,United Kingdom,,53458,Public Utilities,Natural Gas Distribution
NLSN,Nielsen N.V. Ordinary Shares,$19.57,0.01,0.051%,7021718916.00,Netherlands,2011,226435,Miscellaneous,Business Services
NLSP,NLS Pharmaceutics Ltd. Ordinary Shares,$2.45,-0.01,-0.407%,29567396.00,Switzerland,2021,3220,Health Care,Biotechnology: Pharmaceutical Preparations
NLSPW,NLS Pharmaceutics Ltd. Warrant,$0.9251,0.1651,21.724%,0.00,Switzerland,2021,5210,Health Care,Biotechnology: Pharmaceutical Preparations
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,$31.205,0.645,2.111%,836570508.00,Greece,2007,29518,Transportation,Marine Transportation
NMRD,Nemaura Medical Inc. Common Stock,$5.705,-0.03,-0.523%,130608587.00,United Kingdom,,1691,Health Care,Medical Specialities
NNA,Navios Maritime Acquisition Corporation Common stock,$3.97,0.06,1.535%,70411785.00,Greece,,11550,Transportation,Marine Transportation
NOK,Nokia Corporation Sponsored American Depositary Shares,$5.84,0.04,0.69%,32875293040.00,Finland,1994,2583122,Technology,Radio And Television Broadcasting And Communications Equipment
NTZ,Natuzzi S.p.A.,$18.51,0.50,2.776%,203065973.00,Italy,1993,258,Consumer Durables,Home Furnishings
NVCR,NovoCure Limited Ordinary Shares,$112.21,0.71,0.637%,11630327605.00,Jersey,2015,29929,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NVO,Novo Nordisk A/S Common Stock,$98.49,0.11,0.112%,225449407318.00,Denmark,,58094,Health Care,Biotechnology: Pharmaceutical Preparations
NVS,Novartis AG Common Stock,$82.975,0.145,0.175%,185593421595.00,Switzerland,,211428,Health Care,Biotechnology: Pharmaceutical Preparations
NWG,NatWest Group plc American Depositary Shares,$6.35,0.18,2.917%,36310002837.00,United Kingdom,,331123,Finance,Commercial Banks
NXPI,NXP Semiconductors N.V. Common Stock,$190.69,0.38,0.20%,50558570267.00,Netherlands,2010,153415,Technology,Semiconductors
NYXH,Nyxoah SA Ordinary Shares,$27.00,0.00,0.00%,689778693.00,Belgium,2021,480,,
OBSV,ObsEva SA Ordinary Shares,$2.81,-0.04,-1.404%,219040711.00,Switzerland,2017,153677,Health Care,Biotechnology: Pharmaceutical Preparations
OEC,Orion Engineered Carbons S.A Common Shares,$18.93,0.26,1.393%,1145021125.00,Luxembourg,2014,17364,Basic Industries,Specialty Chemicals
OLK,Olink Holding AB (publ) American Depositary Shares,$24.0898,-0.3602,-1.473%,2866856322.00,Sweden,2021,27006,Capital Goods,Biotechnology: Laboratory Analytical Instruments
OPRA,Opera Limited American Depositary Shares,$8.89,-0.05,-0.559%,1023646749.00,Norway,2018,16924,Technology,Computer Software: Prepackaged Software
ORAN,Orange,$10.955,0.005,0.046%,29133000508.00,France,,150973,Public Utilities,Telecommunications Equipment
ORPH,Orphazyme A/S American Depositary Shares,$3.87,0.05,1.309%,135265173.00,Denmark,2020,141043,Technology,Computer Software: Prepackaged Software
ORTX,Orchard Therapeutics plc American Depositary Shares,$2.11,0.06,2.927%,264532525.00,United Kingdom,2018,1592793,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OTLY,Oatly Group AB American Depositary Shares,$14.06,-0.54,-3.699%,8320384620.00,Sweden,2021,644605,,
OZON,Ozon Holdings PLC American Depositary Shares each ADS representing one ordinary share,$49.33,0.07,0.142%,10270650488.00,Cyprus,2020,41793,Consumer Services,Catalog/Specialty Distribution
PHAR,Pharming Group N.V. ADS each representing 10 ordinary shares,$9.14,-0.28,-2.972%,583882952.00,Netherlands,,782,Health Care,Biotechnology: Pharmaceutical Preparations
PHG,Koninklijke Philips N.V. NY Registry Shares,$44.15,1.05,2.436%,40297208396.00,Netherlands,,145137,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PHUN,Phunware Inc. Common Stock,$0.90,-0.0024,-0.266%,67703814.00,Greece,2016,135487,Technology,EDP Services
PHUNW,Phunware Inc. Warrants,$0.1604,0.00,0.00%,0.00,Greece,2016,1,Technology,EDP Services
PHVS,Pharvaris N.V. Ordinary Shares,$16.00,0.56,3.627%,530057488.00,Netherlands,2021,1692,Health Care,Biotechnology: Pharmaceutical Preparations
PIRS,Pieris Pharmaceuticals Inc. Common Stock,$4.7391,-0.0109,-0.229%,316148735.00,Germany,,106861,Health Care,Biotechnology: Pharmaceutical Preparations
PLYA,Playa Hotels & Resorts N.V. Ordinary Shares,$8.71,-0.11,-1.247%,1430341750.00,Netherlands,,140503,Consumer Services,Hotels/Resorts
PNR,Pentair plc. Ordinary Share,$71.18,0.38,0.537%,11806135529.00,Switzerland,,81215,Capital Goods,Fluid Controls
PROC,Procaps Group S.A. Ordinary Shares,$10.07,0.00,0.00%,1136139523.00,Luxembourg,,119,,
PROCW,Procaps Group S.A. Warrants,$1.07,-0.13,-10.833%,0.00,Luxembourg,,2885,,
