Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
JRSH,Jerash Holdings (US) Inc. Common Stock,$7.20,-0.27,-3.614%,88807090.00,United States,2018,46142,Basic Industries,Industrial Specialties
KALU,Kaiser Aluminum Corporation Common Stock,$110.79,1.02,0.929%,1757109458.00,United States,,32379,Basic Industries,Aluminum
KMB,Kimberly-Clark Corporation Common Stock,$132.71,-0.16,-0.12%,44691696566.00,United States,,398060,Basic Industries,Paper
KOP,Koppers Holdings Inc. Koppers Holdings Inc. Common Stock,$32.82,-0.38,-1.145%,700357992.00,United States,2006,23248,Basic Industries,Industrial Specialties
KRA,Kraton Corporation Common Stock,$45.53,0.00,0.00%,1463704632.00,United States,2009,145323,Basic Industries,Major Chemicals
KRO,Kronos Worldwide Inc Common Stock,$13.02,0.19,1.481%,1504459919.00,United States,,48564,Basic Industries,Major Chemicals
KWR,Quaker Chemical Corporation Common Stock,$234.51,1.78,0.765%,4192627704.00,United States,,13309,Basic Industries,Automotive Aftermarket
LEGH,Legacy Housing Corporation Common Stock (TX),$17.12,-0.24,-1.382%,414349043.00,United States,2018,9551,Basic Industries,Homebuilding
LEVI,Levi Strauss & Co Class A Common Stock,$24.81,-0.74,-2.896%,9974453839.00,United States,2019,1661301,Basic Industries,Industrial Specialties
LIN,Linde plc Ordinary Share,$294.96,-1.23,-0.415%,152320682947.00,,2018,451454,Basic Industries,Major Chemicals
LTHM,Livent Corporation Common Stock,$24.16,1.07,4.634%,3902847665.00,United States,2018,1724711,Basic Industries,Industrial Specialties
LXU,LSB Industries Inc. Common Stock,$12.585,0.145,1.166%,998828359.00,United States,,282706,Basic Industries,Industrial Specialties
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$97.235,-0.715,-0.73%,32526601807.00,Netherlands,,979263,Basic Industries,Major Chemicals
MBII,Marrone Bio Innovations Inc. Common Stock,$0.9489,0.0173,1.857%,141741225.00,United States,2013,204950,Basic Industries,Major Chemicals
MERC,Mercer International Inc. Common Stock,$11.54,0.00,0.00%,762073350.00,Canada,,59445,Basic Industries,Paper
MLI,Mueller Industries Inc. Common Stock,$42.855,-0.505,-1.165%,2449325713.00,United States,,45833,Basic Industries,Metal Fabrications
MOS,Mosaic Company (The) Common Stock,$41.9758,1.5758,3.90%,15946478142.00,United States,,4174524,Basic Industries,Agricultural Chemicals
MP,MP Materials Corp. Common Stock,$30.76,0.55,1.821%,5467825898.00,,2020,1108795,Basic Industries,Metal Mining
MSB,Mesabi Trust Common Stock,$35.355,1.095,3.196%,463857954.00,United States,,61288,Basic Industries,Steel/Iron Ore
MT,Arcelor Mittal NY Registry Shares NEW,$29.95,1.02,3.526%,29343599085.00,Luxembourg,,2743422,Basic Industries,Steel/Iron Ore
