Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SKINW,The Beauty Health Company Warrant expiring 5/4/2026,$13.43,-0.30,-2.185%,0.00,United States,2020,12799,Consumer Non-Durables,Package Goods/Cosmetics
SKX,Skechers U.S.A. Inc. Common Stock,$42.1484,0.1784,0.425%,6568076550.00,United States,1999,70157,Consumer Non-Durables,Shoe Manufacturing
SMPL,The Simply Good Foods Company Common Stock,$35.64,0.15,0.423%,3413599592.00,United States,,8691,Consumer Non-Durables,Packaged Foods
SNAX,Stryve Foods Inc. Class A Common Stock,$5.96,0.27,4.745%,48975233.00,United States,2019,26846,Consumer Non-Durables,Specialty Foods
SNAXW,Stryve Foods Inc. Warrant,$0.80,0.02,2.564%,0.00,United States,2019,175,Consumer Non-Durables,Specialty Foods
SONY,Sony Group Corporation American Depositary Shares ,$110.555,3.065,2.851%,137094043163.00,Japan,,177576,Consumer Non-Durables,Consumer Electronics/Appliances
SOVO,Sovos Brands Inc. Common Stock,$13.46,0.13,0.975%,1310902337.00,United States,2021,59122,Consumer Non-Durables,Specialty Foods
SPTN,SpartanNash Company Common Stock,$23.05,0.22,0.964%,828376639.00,United States,,21776,Consumer Non-Durables,Food Distributors
STZ,Constellation Brands Inc. Common Stock,$221.88,2.22,1.011%,41735643532.00,United States,,155621,Consumer Non-Durables,Beverages (Production/Distribution)
SWBI,Smith & Wesson Brands Inc. Common Stock,$20.925,0.055,0.264%,1005528422.00,United States,,92222,Consumer Non-Durables,Ordnance And Accessories
SYY,Sysco Corporation Common Stock,$83.54,0.19,0.228%,42795492179.00,United States,,217520,Consumer Non-Durables,Food Distributors
TAP,Molson Coors Beverage Company Class B Common Stock,$46.51,-0.26,-0.556%,10090656443.00,Canada,,172458,Consumer Non-Durables,Beverages (Production/Distribution)
TDUP,ThredUp Inc. Class A Common Stock,$21.00,-0.20,-0.943%,2032383486.00,United States,2021,140603,Consumer Non-Durables,Department/Specialty Retail Stores
THO,Thor Industries Inc. Common Stock,$125.655,1.445,1.163%,6957045013.00,United States,,42361,Consumer Non-Durables,Homebuilding
THRN,Thorne Healthtech Inc. Common Stock,$7.90,-0.09,-1.126%,414865340.00,United States,2021,31232,Consumer Non-Durables,Farming/Seeds/Milling
THS,Treehouse Foods Inc. Common Stock,$39.25,-0.07,-0.178%,2187816509.00,United States,,23896,Consumer Non-Durables,Packaged Foods
TPB,Turning Point Brands Inc. Common Stock,$49.00,0.99,2.062%,927281390.00,United States,2016,35859,Consumer Non-Durables,Tobacco
TPR,Tapestry Inc. Common Stock,$37.76,0.40,1.071%,10509379021.00,United States,,311474,Consumer Non-Durables,Apparel
TR,Tootsie Roll Industries Inc. Common Stock,$31.51,0.29,0.929%,2124570730.00,United States,,6737,Consumer Non-Durables,Specialty Foods
TSN,Tyson Foods Inc. Common Stock,$79.33,0.76,0.967%,28941652926.00,United States,,234082,Consumer Non-Durables,Meat/Poultry/Fish
TTCF,Tattooed Chef Inc Class A Common Stock,$18.23,0.24,1.334%,467606993.00,United States,2018,148035,Consumer Non-Durables,Farming/Seeds/Milling
TUP,Tupperware Brands Corporation Common Stock,$24.025,0.515,2.191%,1198645930.00,United States,,81141,Consumer Non-Durables,Plastic Products
TWNK,Hostess Brands Inc. Class A Common Stock,$18.7899,0.2499,1.348%,2444434780.00,United States,2015,253933,Consumer Non-Durables,Specialty Foods
TWNKW,Hostess Brands Inc. Warrants,$3.70,0.13,3.641%,0.00,United States,2015,17849,Consumer Non-Durables,Specialty Foods
UA,Under Armour Inc. Class C Common Stock,$17.73,-0.02,-0.113%,8302572823.00,United States,2016,245941,Consumer Non-Durables,Apparel
UAA,Under Armour Inc. Class A Common Stock,$20.41,-0.03,-0.147%,9557558450.00,United States,,611931,Consumer Non-Durables,Apparel
UEIC,Universal Electronics Inc. Common Stock,$48.94,0.58,1.199%,659885133.00,United States,1993,5818,Consumer Non-Durables,Consumer Electronics/Appliances
UG,United-Guardian Inc. Common Stock,$14.4489,-0.0411,-0.284%,66382856.00,United States,,371,Consumer Non-Durables,Package Goods/Cosmetics
UL,Unilever PLC Common Stock,$52.8165,0.1765,0.335%,136286893578.00,United Kingdom,,324461,Consumer Non-Durables,Package Goods/Cosmetics
UNFI,United Natural Foods Inc. Common Stock,$47.445,0.065,0.137%,2678046926.00,United States,2019,88523,Consumer Non-Durables,Food Distributors
USFD,US Foods Holding Corp. Common Stock,$37.80,-0.37,-0.969%,8410896371.00,United States,2016,140703,Consumer Non-Durables,Food Distributors
UTZ,Utz Brands Inc Class A Common Stock ,$15.29,-0.28,-1.798%,2093497228.00,United States,2018,173241,Consumer Non-Durables,Specialty Foods
UVV,Universal Corporation Common Stock,$49.70,0.44,0.893%,1221520636.00,United States,,28580,Consumer Non-Durables,Tobacco
VFC,V.F. Corporation Common Stock,$70.36,2.36,3.471%,27626053796.00,United States,,805010,Consumer Non-Durables,Apparel
VGR,Vector Group Ltd. Common Stock,$14.0213,0.1713,1.237%,2158711314.00,United States,,81348,Consumer Non-Durables,Farming/Seeds/Milling
